n_qubits,mean_fidelity,std_fidelity,mean_runtime
2,0.26488325785676836,0.23980959075099506,0.00039081573486328126
3,0.1633292268291525,0.1091337592245032,0.00020155906677246093
4,0.08652488025015234,0.06989934381607257,0.0
5,0.03162275483282989,0.030567970128091176,0.00020155906677246093
